Path;File Name;Masternumber;Size;Suffix;Language;Language;Filetype;Articlenumber;Alte Artikelnummern;Category 1;Category 2;Category 3;;DOP/ProPer
C:\Tino\PDF\FTP DL\100746-19-file-4-1-es-sv.pdf;100746-19-file-4-1-es-sv.pdf;100746;;-4-1;es-sv;es;.pdf;100746-19;10074600019;MOD 0740/6 Glass adapters zamak;Certificate;Certificados;;ProPer
C:\Tino\PDF\FTP DL\100746-19-file-4-1-fi.pdf;100746-19-file-4-1-fi.pdf;100746;;-4-1;fi;fi;.pdf;100746-19;10074600019;MOD 0740/6 Glass adapters zamak;Certificate;Sertifikaatit;;ProPer
C:\Tino\PDF\FTP DL\100746-19-file-4-1-fr.pdf;100746-19-file-4-1-fr.pdf;100746;;-4-1;fr;fr;.pdf;100746-19;10074600019;MOD 0740/6 Glass adapters zamak;Certificate;Certificats;;ProPer
C:\Tino\PDF\FTP DL\100746-19-file-4-1-it.pdf;100746-19-file-4-1-it.pdf;100746;;-4-1;it;it;.pdf;100746-19;10074600019;MOD 0740/6 Glass adapters zamak;Certificate;Certificati;;ProPer
C:\Tino\PDF\FTP DL\100746-19-file-4-1-nl.pdf;100746-19-file-4-1-nl.pdf;100746;;-4-1;nl;nl;.pdf;100746-19;10074600019;MOD 0740/6 Glass adapters zamak;Certificate;Certificaten;;ProPer
C:\Tino\PDF\FTP DL\100746-19-file-4-1-nn-no.pdf;100746-19-file-4-1-nn-no.pdf;100746;;-4-1;nn-no;nb-no;.pdf;100746-19;10074600019;MOD 0740/6 Glass adapters zamak;Certificate;Sertifikater;;ProPer
C:\Tino\PDF\FTP DL\100746-19-file-4-1-pl.pdf;100746-19-file-4-1-pl.pdf;100746;;-4-1;pl;pl;.pdf;100746-19;10074600019;MOD 0740/6 Glass adapters zamak;Certificate;Certyfikaty;;ProPer
C:\Tino\PDF\FTP DL\100746-19-file-4-1-pt.pdf;100746-19-file-4-1-pt.pdf;100746;;-4-1;pt;pt;.pdf;100746-19;10074600019;MOD 0740/6 Glass adapters zamak;Certificate;Certificados;;ProPer
C:\Tino\PDF\FTP DL\100746-19-file-4-1-pt-br.pdf;100746-19-file-4-1-pt-br.pdf;100746;;-4-1;pt-br;pt-br;.pdf;100746-19;10074600019;MOD 0740/6 Glass adapters zamak;Certificate;Certificados;;ProPer
C:\Tino\PDF\FTP DL\100746-19-file-4-1-sv.pdf;100746-19-file-4-1-sv.pdf;100746;;-4-1;sv;sv;.pdf;100746-19;10074600019;MOD 0740/6 Glass adapters zamak;Certificate;Certifikat;;ProPer
C:\Tino\PDF\FTP DL\100747-00-file-4-1.pdf;100747-00-file-4-1.pdf;100747;;-4-1;;en-gb;.pdf;100747-00;10074700000;MOD 0747 base glass adapters zamak;Certificate;Certificate;;ProPer
C:\Tino\PDF\FTP DL\100747-00-file-4-1-de.pdf;100747-00-file-4-1-de.pdf;100747;;-4-1;de;de;.pdf;100747-00;10074700000;MOD 0747 base glass adapters zamak;Certificate;Zertifikate;;ProPer
C:\Tino\PDF\FTP DL\100747-00-file-4-1-en-gb.pdf;100747-00-file-4-1-en-gb.pdf;100747;;-4-1;en-gb;en-gb;.pdf;100747-00;10074700000;MOD 0747 base glass adapters zamak;Certificate;Certificate;;ProPer
C:\Tino\PDF\FTP DL\100747-00-file-4-1-es.pdf;100747-00-file-4-1-es.pdf;100747;;-4-1;es;es;.pdf;100747-00;10074700000;MOD 0747 base glass adapters zamak;Certificate;Certificados;;ProPer
C:\Tino\PDF\FTP DL\100747-00-file-4-1-es-sv.pdf;100747-00-file-4-1-es-sv.pdf;100747;;-4-1;es-sv;es;.pdf;100747-00;10074700000;MOD 0747 base glass adapters zamak;Certificate;Certificados;;ProPer
C:\Tino\PDF\FTP DL\100747-00-file-4-1-fi.pdf;100747-00-file-4-1-fi.pdf;100747;;-4-1;fi;fi;.pdf;100747-00;10074700000;MOD 0747 base glass adapters zamak;Certificate;Sertifikaatit;;ProPer
C:\Tino\PDF\FTP DL\100747-00-file-4-1-fr.pdf;100747-00-file-4-1-fr.pdf;100747;;-4-1;fr;fr;.pdf;100747-00;10074700000;MOD 0747 base glass adapters zamak;Certificate;Certificats;;ProPer
C:\Tino\PDF\FTP DL\100747-00-file-4-1-it.pdf;100747-00-file-4-1-it.pdf;100747;;-4-1;it;it;.pdf;100747-00;10074700000;MOD 0747 base glass adapters zamak;Certificate;Certificati;;ProPer
C:\Tino\PDF\FTP DL\100747-00-file-4-1-nl.pdf;100747-00-file-4-1-nl.pdf;100747;;-4-1;nl;nl;.pdf;100747-00;10074700000;MOD 0747 base glass adapters zamak;Certificate;Certificaten;;ProPer
C:\Tino\PDF\FTP DL\100747-00-file-4-1-nn-no.pdf;100747-00-file-4-1-nn-no.pdf;100747;;-4-1;nn-no;nb-no;.pdf;100747-00;10074700000;MOD 0747 base glass adapters zamak;Certificate;Sertifikater;;ProPer
C:\Tino\PDF\FTP DL\100747-00-file-4-1-pl.pdf;100747-00-file-4-1-pl.pdf;100747;;-4-1;pl;pl;.pdf;100747-00;10074700000;MOD 0747 base glass adapters zamak;Certificate;Certyfikaty;;ProPer
C:\Tino\PDF\FTP DL\100747-00-file-4-1-pt.pdf;100747-00-file-4-1-pt.pdf;100747;;-4-1;pt;pt;.pdf;100747-00;10074700000;MOD 0747 base glass adapters zamak;Certificate;Certificados;;ProPer
C:\Tino\PDF\FTP DL\100747-00-file-4-1-pt-br.pdf;100747-00-file-4-1-pt-br.pdf;100747;;-4-1;pt-br;pt-br;.pdf;100747-00;10074700000;MOD 0747 base glass adapters zamak;Certificate;Certificados;;ProPer
C:\Tino\PDF\FTP DL\100747-00-file-4-1-sv.pdf;100747-00-file-4-1-sv.pdf;100747;;-4-1;sv;sv;.pdf;100747-00;10074700000;MOD 0747 base glass adapters zamak;Certificate;Certifikat;;ProPer
C:\Tino\PDF\FTP DL\100747-20-file-4-1.pdf;100747-20-file-4-1.pdf;100747;;-4-1;;en-gb;.pdf;100747-20;10074700020;MOD 0747 base glass adapters zamak;Certificate;Certificate;;ProPer
C:\Tino\PDF\FTP DL\100747-20-file-4-1-de.pdf;100747-20-file-4-1-de.pdf;100747;;-4-1;de;de;.pdf;100747-20;10074700020;MOD 0747 base glass adapters zamak;Certificate;Zertifikate;;ProPer
C:\Tino\PDF\FTP DL\100747-20-file-4-1-en-gb.pdf;100747-20-file-4-1-en-gb.pdf;100747;;-4-1;en-gb;en-gb;.pdf;100747-20;10074700020;MOD 0747 base glass adapters zamak;Certificate;Certificate;;ProPer
C:\Tino\PDF\FTP DL\100747-20-file-4-1-en-us.pdf;100747-20-file-4-1-en-us.pdf;100747;;-4-1;en-us;en-us;.pdf;100747-20;10074700020;MOD 0747 base glass adapters zamak;Certificate;Certificates;;ProPer
C:\Tino\PDF\FTP DL\100747-20-file-4-1-es.pdf;100747-20-file-4-1-es.pdf;100747;;-4-1;es;es;.pdf;100747-20;10074700020;MOD 0747 base glass adapters zamak;Certificate;Certificados;;ProPer
C:\Tino\PDF\FTP DL\100747-20-file-4-1-es-sv.pdf;100747-20-file-4-1-es-sv.pdf;100747;;-4-1;es-sv;es;.pdf;100747-20;10074700020;MOD 0747 base glass adapters zamak;Certificate;Certificados;;ProPer
C:\Tino\PDF\FTP DL\100747-20-file-4-1-fi.pdf;100747-20-file-4-1-fi.pdf;100747;;-4-1;fi;fi;.pdf;100747-20;10074700020;MOD 0747 base glass adapters zamak;Certificate;Sertifikaatit;;ProPer
C:\Tino\PDF\FTP DL\100747-20-file-4-1-fr.pdf;100747-20-file-4-1-fr.pdf;100747;;-4-1;fr;fr;.pdf;100747-20;10074700020;MOD 0747 base glass adapters zamak;Certificate;Certificats;;ProPer
C:\Tino\PDF\FTP DL\100747-20-file-4-1-it.pdf;100747-20-file-4-1-it.pdf;100747;;-4-1;it;it;.pdf;100747-20;10074700020;MOD 0747 base glass adapters zamak;Certificate;Certificati;;ProPer
